timestamp,open,high,low,close,adjusted close,volume,dividend amount
2017-07-28,994.1000,1006.1900,937.0600,958.3300,47.9165,16494197,0.0000
2017-07-21,976.3200,998.6800,970.8000,993.8400,49.6920,7258645,0.0000
2017-07-14,941.9500,978.7000,941.9500,976.9100,48.8455,7012165,0.0000
2017-07-07,933.2200,944.6600,915.3100,940.8100,47.0405,7305416,0.0000
2017-06-30,990.0000,993.9900,929.6000,929.6800,46.4840,12014844,0.0000
2017-06-23,969.6500,986.6200,968.2000,986.0900,49.3045,6243485,0.0000
2017-06-16,958.7200,979.7000,936.7950,958.6200,47.9310,12482812,0.0000
2017-06-09,997.8900,1008.6100,953.3700,970.1200,48.5060,9490663,0.0000
2017-06-02,992.5000,999.6000,981.2900,996.1200,49.8060,6230734,0.0000
2017-05-26,957.0000,996.3900,956.5600,993.2700,49.6635,7537952,0.0000
2017-05-19,955.2900,965.8955,940.0600,954.6500,47.7325,7884601,0.0000
2017-05-12,947.4500,962.2000,947.3950,955.1400,47.7570,6853333,0.0000
2017-05-05,924.1500,959.1400,920.8000,950.2800,47.5140,9361706,0.0000
2017-04-28,868.4400,935.9000,866.1100,924.5200,46.2260,6870587,0.0000
2017-04-21,841.3800,863.9300,841.0300,858.9500,42.9475,5427375,0.0000
2017-04-13,841.5400,846.7372,834.6000,840.1800,42.0090,4229983,0.0000
2017-04-07,848.7500,860.5900,837.3000,842.1000,42.1050,7817017,0.0000
2017-03-31,828.0900,852.0000,824.3000,847.8000,42.3900,7302140,0.0000
2017-03-24,869.4800,873.4700,829.1000,835.1400,41.7570,10840277,0.0000
2017-03-17,860.8300,874.4200,860.1300,872.3700,43.6185,6533886,0.0000
2017-03-10,846.8600,864.2290,841.1700,861.4050,43.0703,5800684,0.0000
2017-03-03,844.9500,858.0000,841.4422,849.0800,42.4540,6469673,0.0000
2017-02-24,847.9900,853.7900,842.5000,847.8100,42.3905,5218821,0.0000
2017-02-17,837.7000,846.9400,835.8300,846.5500,42.3275,6482532,0.0000
2017-02-10,820.9200,837.1500,814.2900,834.8500,41.7425,6929071,0.0000
2017-02-03,837.0600,837.2300,812.0510,820.1300,41.0065,11005434,0.0000
2017-01-27,831.6100,867.0000,828.7000,845.0300,42.2515,13053648,0.0000
2017-01-20,830.0000,832.9999,823.2001,828.1700,41.4085,4845240,0.0000
2017-01-13,826.3700,834.6500,821.0100,830.9400,41.5470,6572250,0.0000
2017-01-06,800.6200,828.9600,796.8900,825.2100,41.2605,6832004,0.0000
2016-12-30,808.6800,816.0000,789.6200,792.4500,39.6225,4983989,0.0000
2016-12-23,809.2800,816.4900,804.5000,807.8000,40.3900,5892748,0.0000
2016-12-16,804.8200,824.3000,804.5311,809.8400,40.4920,9925051,0.0000
2016-12-09,770.0000,809.9500,766.9686,809.4500,40.4725,8968981,0.0000
2016-12-02,778.3500,799.7400,753.3600,764.4600,38.2230,11002387,0.0000
2016-11-25,778.1000,793.7700,772.6500,780.2300,39.0115,4951539,0.0000
2016-11-18,771.7600,791.2900,743.5900,775.9700,38.7985,11770466,0.0000
2016-11-11,794.9500,816.0400,765.5400,771.7500,38.5875,16362399,0.0000
2016-11-04,822.4300,822.6300,771.0043,781.1000,39.0550,11095124,0.0000
2016-10-28,830.0900,839.0000,814.6100,819.5600,40.9780,12461566,0.0000
2016-10-21,805.9900,829.8100,803.8300,824.0600,41.2030,7855458,0.0000
2016-10-14,803.9300,819.8600,798.6200,804.6000,40.2300,6606481,0.0000
2016-10-07,802.5500,808.5000,796.2300,800.7100,40.0355,6225546,0.0000
2016-09-30,809.8200,813.9100,800.4500,804.0600,40.2030,7320458,0.0000
2016-09-23,801.1100,819.0600,793.5600,814.9600,40.7480,6719002,0.0000
2016-09-16,784.5200,803.6450,783.5000,797.9700,39.8985,8683624,0.0000
2016-09-09,798.3900,810.8900,788.0500,788.4800,39.4240,6200554,0.0000
2016-09-02,793.0500,798.5200,786.3300,796.8700,39.8435,5665887,0.0000
2016-08-26,798.5100,801.0000,787.2300,793.2200,39.6610,5506876,0.0000
2016-08-19,807.2100,811.3600,796.3000,799.6500,39.9825,5039964,0.0000
2016-08-12,806.0000,813.8790,801.6900,807.0500,40.3525,5927365,0.0000
2016-08-05,786.6700,807.4900,785.0400,806.9300,40.3465,9370339,0.0000
2016-07-29,757.6800,803.9400,752.7503,791.3400,39.5670,12635220,0.0000
2016-07-22,737.9100,760.6400,736.5100,759.2800,37.9640,6580889,0.0000
2016-07-15,719.4200,741.0000,718.8650,735.6300,36.7815,6479058,0.0000
2016-07-08,705.0100,717.9000,699.0000,717.7800,35.8890,5423175,0.0000
2016-07-01,682.4900,712.5300,672.6600,710.2500,35.5125,10649657,0.0000
2016-06-24,710.3100,715.8700,684.9100,685.2000,34.2600,12148335,0.0000
2016-06-17,729.8200,739.0000,701.1200,704.2500,35.2125,10021781,0.0000
2016-06-10,738.5000,743.9300,728.2900,733.1900,36.6595,6742535,0.0000
2016-06-03,748.7600,753.4800,733.9100,735.8600,36.7930,6090295,0.0000
2016-05-27,719.9800,747.9100,716.9400,747.6000,37.3800,7851860,0.0000
2016-05-20,724.3200,735.8500,710.3050,721.7100,36.0855,7693643,0.0000
2016-05-13,726.7000,740.8000,723.5000,724.8300,36.2415,7644027,0.0000
2016-05-06,711.9200,725.9900,704.0500,725.1800,36.2590,8794454,0.0000
2016-04-29,735.3500,745.5900,703.2000,707.8800,35.3940,14621808,0.0000
2016-04-22,780.1900,790.9500,730.3700,737.7700,36.8885,16509086,0.0000
2016-04-15,765.4500,780.9300,751.5650,780.0000,39.0000,7664552,0.0000
2016-04-08,769.5100,772.4400,755.6000,759.4700,37.9735,6282625,0.0000
2016-04-01,756.1700,777.3100,748.2900,769.6700,38.4835,8318006,0.0000
2016-03-24,753.9100,765.3900,750.5000,754.8400,37.7420,5333140,0.0000
2016-03-18,744.9700,765.3400,742.8400,755.4100,37.7705,9637814,0.0000
2016-03-11,725.1500,744.9000,704.0000,744.8700,37.2435,11586941,0.0000
2016-03-04,721.0000,743.1210,716.8400,730.2200,36.5110,11526072,0.0000
2016-02-26,729.5100,736.1600,702.0200,724.8600,36.2430,9727950,0.0000
2016-02-19,718.6500,736.0000,710.1800,722.1100,36.1055,8739714,0.0000
2016-02-12,687.6800,723.2200,682.0100,706.8900,35.3445,17278292,0.0000
2016-02-05,771.2600,810.3500,700.1400,703.7600,35.1880,29648095,0.0000
2016-01-29,743.8400,765.1050,713.4500,761.3500,38.0675,12831131,0.0000
2016-01-22,720.1500,748.5600,687.7800,745.4600,37.2730,11512461,0.0000
2016-01-15,731.9500,753.0000,701.5100,710.4900,35.5245,14083573,0.0000
2016-01-08,762.2000,769.2000,728.9201,730.9100,36.5455,13572075,0.0000
2015-12-31,770.0000,798.6900,767.7300,778.0100,38.9005,6545076,0.0000
2015-12-24,763.0500,771.9000,754.1500,765.8400,38.2920,5610186,0.0000
2015-12-18,751.2600,781.5900,736.2600,756.8500,37.8425,13049089,0.0000
2015-12-11,780.0600,781.0000,748.6500,750.4200,37.5210,9494983,0.0000
2015-12-04,771.8700,793.0475,761.1200,779.2100,38.9605,10630546,0.0000
2015-11-27,777.4700,782.9000,758.1100,771.9700,38.5985,6029373,0.0000
2015-11-20,740.2100,779.3180,734.3300,777.0000,38.8500,10466325,0.0000
2015-11-13,758.5200,769.0800,739.4700,740.0700,37.0035,9544630,0.0000
2015-11-06,737.8800,766.3500,731.4500,761.6000,38.0800,9854520,0.0000
2015-10-30,720.0200,746.7900,720.0200,737.3900,36.8695,10183035,0.0000
2015-10-23,694.0000,752.5000,670.7000,719.3300,35.9665,16506654,0.0000
2015-10-16,669.1900,696.2200,667.2400,695.3200,34.7660,9194733,0.0000
2015-10-09,661.6000,678.8000,654.4900,671.2400,33.5620,9844668,0.0000
2015-10-02,639.0500,658.2555,617.8400,656.9900,32.8495,11582547,0.0000
2015-09-25,665.5100,669.0000,639.6550,640.1500,32.0075,10489374,0.0000
2015-09-18,655.6300,681.9900,649.5010,660.9200,33.0460,10602360,0.0000
2015-09-11,641.0000,657.3600,632.9000,655.3000,32.7650,7140652,0.0000
2015-09-04,656.2600,664.4100,625.0600,628.9600,31.4480,10154769,0.0000
2015-08-28,600.6000,673.9799,593.0900,659.6900,32.9845,19338453,0.0000
2015-08-21,688.0400,700.2000,643.1040,644.0300,32.2015,12613039,0.0000
2015-08-14,667.0900,704.0000,660.2300,689.3700,34.4685,13346857,0.0000
2015-08-07,657.6600,679.9100,657.6600,664.3900,33.2195,8099542,0.0000
2015-07-31,651.5700,668.0500,651.5500,657.5000,32.8750,10201547,0.0000
2015-07-24,688.9800,713.3300,653.1800,654.7700,32.7385,20999704,0.0000
2015-07-17,559.5100,703.0000,558.7000,699.6200,34.9810,26394744,0.0000
